"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","189","ユーザー作成","api","2026-06-29","passed","2026-06-29","","api/users/user-create.spec.ts","",""
"","183","ユーザー情報取得","api","2026-06-29","passed","2026-06-29","","api/users/user-get.spec.ts","",""
"","240","異常ログイン","api","2026-06-29","passed","2026-06-29","","api/auth/auth-login.spec.ts","",""
"","441","refresh token取得","api","2026-06-29","passed","2026-06-29","","api/auth/auth-refresh.spec.ts","",""
"","187","ユーザー情報更新","api","2026-06-29","passed","2026-06-29","","api/users/user-update.spec.ts","",""
"","188","ユーザー削除","api","2026-06-29","passed","2026-06-29","","api/users/user-delete.spec.ts","",""
"","658","正常ログイン","api","2026-06-29","passed","2026-06-29","","api/auth/auth-login.spec.ts","",""
"","471","ユーザー検索John","api","2026-06-29","passed","2026-06-29","","api\users\user-search.spec.ts","",""
"","1229","ユーザー検索","api","2026-06-29","passed","2026-06-29","","api\users\user-search.spec.ts","",""
"","185","ユーザー検索John","api","2026-06-29","passed","2026-06-29","ユーザー検索API","api/users/user-search.spec.ts","",""
"","272","存在しないユーザー検索","api","2026-06-29","passed","2026-06-29","","api\users\user-search.spec.ts","",""
"","190","ユーザー検索Emily","api","2026-06-29","passed","2026-06-29","ユーザー検索API","api/users/user-search.spec.ts","",""
"","984","ユーザー情報取得","api","2026-06-29","passed","2026-06-29","","api/auth/auth-me.spec.ts","",""
"","210","存在しないユーザー検索","api","2026-06-29","passed","2026-06-29","ユーザー検索API","api/users/user-search.spec.ts","",""
"","268","ユーザー検索Emily","api","2026-06-29","passed","2026-06-29","","api\users\user-search.spec.ts","",""
